,Course,Course Number,Seats Remaining,Instructor,Semester,Waitlist Percent,Sem,Year,Risk Level
733,Data Structures,398,5 of 20 seats remain,"Garcia, Maria",Spring 2022,25.0,Spring,2022,Risky
734,Software Engineering,400,31 of 50 seats remain,"Garcia, Maria",Spring 2022,62.0,Spring,2022,Low Risk
735,Computer Architecture,401,52 of 60 seats remain,"Garcia, Maria",Spring 2022,86.66666666666667,Spring,2022,No Risk
736,Algorithms,401,19 of 30 seats remain,"Jones, Robert",Spring 2022,63.33333333333333,Spring,2022,Low Risk
737,Computer Architecture,401,5 of 60 seats remain,"Garcia, Maria",Spring 2022,8.333333333333332,Spring,2022,Very Risky
738,Machine Learning,403,2 of 60 seats remain,"Garcia, Maria",Spring 2022,3.3333333333333335,Spring,2022,Very Risky
739,Operating Systems,409,50 of 60 seats remain,"Jones, Robert",Spring 2022,83.33333333333334,Spring,2022,No Risk
740,Software Engineering,410,50 of 70 seats remain,"Brown, Linda",Spring 2022,71.42857142857143,Spring,2022,Low Risk
741,Software Engineering,414,11 of 20 seats remain,"Garcia, Maria",Spring 2022,55.00000000000001,Spring,2022,Medium risk
742,Database Systems,418,36 of 50 seats remain,"Brown, Linda",Spring 2022,72.0,Spring,2022,Low Risk
743,Database Systems,419,31 of 40 seats remain,"Miller, James",Spring 2022,77.5,Spring,2022,Low Risk
744,Intro to Programming,420,20 of 30 seats remain,"Johnson, Emily",Spring 2022,66.66666666666666,Spring,2022,Low Risk
745,Operating Systems,424,26 of 40 seats remain,"Williams, David",Spring 2022,65.0,Spring,2022,Low Risk
746,Operating Systems,424,5 of 50 seats remain,"Rodriguez, Michael",Spring 2022,10.0,Spring,2022,Very Risky
747,Computer Architecture,425,4 of 60 seats remain,"Williams, David",Spring 2022,6.666666666666667,Spring,2022,Very Risky
748,Algorithms,430,3 of 20 seats remain,"Johnson, Emily",Spring 2022,15.0,Spring,2022,Very Risky
749,Database Systems,431,50 of 60 seats remain,"Martinez, Jessica",Spring 2022,83.33333333333334,Spring,2022,No Risk
750,Computer Architecture,432,17 of 30 seats remain,"Johnson, Emily",Spring 2022,56.666666666666664,Spring,2022,Medium risk
751,Machine Learning,435,19 of 50 seats remain,"Smith, John",Spring 2022,38.0,Spring,2022,Risky
752,Intro to Programming,436,5 of 30 seats remain,"Williams, David",Spring 2022,16.666666666666664,Spring,2022,Very Risky
753,Computer Architecture,439,0 of 30 seats remain,"Garcia, Maria",Spring 2022,0.0,Spring,2022,Very Risky
754,Intro to Programming,443,0 of 50 seats remain,"Brown, Linda",Spring 2022,0.0,Spring,2022,Very Risky
755,Software Engineering,445,44 of 70 seats remain,"Williams, David",Spring 2022,62.857142857142854,Spring,2022,Low Risk
756,Computer Architecture,445,3 of 20 seats remain,"Davis, Elizabeth",Spring 2022,15.0,Spring,2022,Very Risky
757,Database Systems,447,3 of 60 seats remain,"Johnson, Emily",Spring 2022,5.0,Spring,2022,Very Risky
758,Operating Systems,448,11 of 20 seats remain,"Johnson, Emily",Spring 2022,55.00000000000001,Spring,2022,Medium risk
759,Computer Networks,453,36 of 50 seats remain,"Martinez, Jessica",Spring 2022,72.0,Spring,2022,Low Risk
760,Computer Networks,457,1 of 40 seats remain,"Brown, Linda",Spring 2022,2.5,Spring,2022,Very Risky
761,Operating Systems,459,5 of 20 seats remain,"Smith, John",Spring 2022,25.0,Spring,2022,Risky
762,Database Systems,459,39 of 50 seats remain,"Jones, Robert",Spring 2022,78.0,Spring,2022,Low Risk
763,Machine Learning,459,8 of 20 seats remain,"Garcia, Maria",Spring 2022,40.0,Spring,2022,Risky
764,Database Systems,461,22 of 40 seats remain,"Jones, Robert",Spring 2022,55.00000000000001,Spring,2022,Medium risk
765,Database Systems,462,3 of 40 seats remain,"Smith, John",Spring 2022,7.5,Spring,2022,Very Risky
766,Computer Architecture,465,23 of 50 seats remain,"Garcia, Maria",Spring 2022,46.0,Spring,2022,Medium risk
767,Machine Learning,465,17 of 20 seats remain,"Williams, David",Spring 2022,85.0,Spring,2022,No Risk
768,Algorithms,467,5 of 40 seats remain,"Rodriguez, Michael",Spring 2022,12.5,Spring,2022,Very Risky
769,Data Structures,469,36 of 70 seats remain,"Miller, James",Spring 2022,51.42857142857142,Spring,2022,Medium risk
770,Software Engineering,470,11 of 20 seats remain,"Jones, Robert",Spring 2022,55.00000000000001,Spring,2022,Medium risk
771,Data Structures,471,20 of 30 seats remain,"Davis, Elizabeth",Spring 2022,66.66666666666666,Spring,2022,Low Risk
772,Artificial Intelligence,476,3 of 60 seats remain,"Jones, Robert",Spring 2022,5.0,Spring,2022,Very Risky
773,Algorithms,479,14 of 30 seats remain,"Rodriguez, Michael",Spring 2022,46.666666666666664,Spring,2022,Medium risk
774,Computer Architecture,480,12 of 40 seats remain,"Rodriguez, Michael",Spring 2022,30.0,Spring,2022,Risky
775,Computer Architecture,481,41 of 50 seats remain,"Rodriguez, Michael",Spring 2022,82.0,Spring,2022,No Risk
776,Data Structures,488,15 of 70 seats remain,"Rodriguez, Michael",Spring 2022,21.428571428571427,Spring,2022,Risky
777,Database Systems,488,12 of 40 seats remain,"Brown, Linda",Spring 2022,30.0,Spring,2022,Risky
778,Software Engineering,489,16 of 20 seats remain,"Davis, Elizabeth",Spring 2022,80.0,Spring,2022,Low Risk
779,Database Systems,493,54 of 70 seats remain,"Miller, James",Spring 2022,77.14285714285715,Spring,2022,Low Risk
780,Software Engineering,494,14 of 30 seats remain,"Jones, Robert",Spring 2022,46.666666666666664,Spring,2022,Medium risk
781,Data Structures,500,33 of 60 seats remain,"Johnson, Emily",Spring 2022,55.00000000000001,Spring,2022,Medium risk
782,Database Systems,502,9 of 40 seats remain,"Garcia, Maria",Spring 2022,22.5,Spring,2022,Risky
783,Software Engineering,502,34 of 50 seats remain,"Garcia, Maria",Spring 2022,68.0,Spring,2022,Low Risk
784,Artificial Intelligence,507,29 of 40 seats remain,"Smith, John",Spring 2022,72.5,Spring,2022,Low Risk
785,Data Structures,507,36 of 50 seats remain,"Martinez, Jessica",Spring 2022,72.0,Spring,2022,Low Risk
786,Computer Architecture,509,22 of 30 seats remain,"Miller, James",Spring 2022,73.33333333333333,Spring,2022,Low Risk
787,Machine Learning,513,31 of 70 seats remain,"Miller, James",Spring 2022,44.285714285714285,Spring,2022,Medium risk
788,Algorithms,515,19 of 40 seats remain,"Garcia, Maria",Spring 2022,47.5,Spring,2022,Medium risk
789,Operating Systems,518,8 of 50 seats remain,"Martinez, Jessica",Spring 2022,16.0,Spring,2022,Very Risky
790,Computer Networks,522,20 of 20 seats remain,"Rodriguez, Michael",Spring 2022,100.0,Spring,2022,No Risk
791,Artificial Intelligence,525,27 of 60 seats remain,"Rodriguez, Michael",Spring 2022,45.0,Spring,2022,Medium risk
792,Artificial Intelligence,527,30 of 60 seats remain,"Martinez, Jessica",Spring 2022,50.0,Spring,2022,Medium risk
793,Software Engineering,529,32 of 50 seats remain,"Williams, David",Spring 2022,64.0,Spring,2022,Low Risk
794,Operating Systems,530,23 of 40 seats remain,"Smith, John",Spring 2022,57.49999999999999,Spring,2022,Medium risk
795,Intro to Programming,531,6 of 40 seats remain,"Williams, David",Spring 2022,15.0,Spring,2022,Very Risky
796,Data Structures,532,50 of 60 seats remain,"Garcia, Maria",Spring 2022,83.33333333333334,Spring,2022,No Risk
797,Artificial Intelligence,532,20 of 30 seats remain,"Johnson, Emily",Spring 2022,66.66666666666666,Spring,2022,Low Risk
798,Computer Networks,534,41 of 50 seats remain,"Smith, John",Spring 2022,82.0,Spring,2022,No Risk
799,Database Systems,540,4 of 40 seats remain,"Martinez, Jessica",Spring 2022,10.0,Spring,2022,Very Risky
800,Software Engineering,540,15 of 20 seats remain,"Garcia, Maria",Spring 2022,75.0,Spring,2022,Low Risk
801,Data Structures,540,8 of 30 seats remain,"Miller, James",Spring 2022,26.666666666666668,Spring,2022,Risky
802,Intro to Programming,540,30 of 50 seats remain,"Garcia, Maria",Spring 2022,60.0,Spring,2022,Medium risk
803,Data Structures,541,12 of 20 seats remain,"Jones, Robert",Spring 2022,60.0,Spring,2022,Medium risk
804,Software Engineering,541,46 of 70 seats remain,"Williams, David",Spring 2022,65.71428571428571,Spring,2022,Low Risk
805,Operating Systems,542,24 of 50 seats remain,"Martinez, Jessica",Spring 2022,48.0,Spring,2022,Medium risk
806,Operating Systems,542,59 of 70 seats remain,"Garcia, Maria",Spring 2022,84.28571428571429,Spring,2022,No Risk
807,Machine Learning,545,0 of 20 seats remain,"Williams, David",Spring 2022,0.0,Spring,2022,Very Risky
808,Database Systems,546,2 of 20 seats remain,"Miller, James",Spring 2022,10.0,Spring,2022,Very Risky
809,Data Structures,551,19 of 20 seats remain,"Martinez, Jessica",Spring 2022,95.0,Spring,2022,No Risk
810,Artificial Intelligence,553,4 of 30 seats remain,"Garcia, Maria",Spring 2022,13.333333333333334,Spring,2022,Very Risky
811,Computer Networks,559,16 of 20 seats remain,"Garcia, Maria",Spring 2022,80.0,Spring,2022,Low Risk
812,Operating Systems,561,16 of 50 seats remain,"Rodriguez, Michael",Spring 2022,32.0,Spring,2022,Risky
813,Algorithms,564,56 of 60 seats remain,"Williams, David",Spring 2022,93.33333333333333,Spring,2022,No Risk
814,Machine Learning,565,9 of 40 seats remain,"Rodriguez, Michael",Spring 2022,22.5,Spring,2022,Risky
815,Software Engineering,566,15 of 20 seats remain,"Miller, James",Spring 2022,75.0,Spring,2022,Low Risk
816,Intro to Programming,567,51 of 70 seats remain,"Williams, David",Spring 2022,72.85714285714285,Spring,2022,Low Risk
817,Machine Learning,569,3 of 70 seats remain,"Garcia, Maria",Spring 2022,4.285714285714286,Spring,2022,Very Risky
818,Computer Architecture,569,32 of 60 seats remain,"Jones, Robert",Spring 2022,53.333333333333336,Spring,2022,Medium risk
819,Data Structures,571,29 of 40 seats remain,"Williams, David",Spring 2022,72.5,Spring,2022,Low Risk
820,Machine Learning,572,9 of 30 seats remain,"Williams, David",Spring 2022,30.0,Spring,2022,Risky
821,Computer Architecture,573,31 of 40 seats remain,"Martinez, Jessica",Spring 2022,77.5,Spring,2022,Low Risk
822,Algorithms,574,6 of 20 seats remain,"Davis, Elizabeth",Spring 2022,30.0,Spring,2022,Risky
823,Computer Architecture,574,19 of 60 seats remain,"Davis, Elizabeth",Spring 2022,31.666666666666664,Spring,2022,Risky
824,Machine Learning,579,44 of 50 seats remain,"Jones, Robert",Spring 2022,88.0,Spring,2022,No Risk
825,Machine Learning,580,6 of 20 seats remain,"Martinez, Jessica",Spring 2022,30.0,Spring,2022,Risky
826,Theory/Application Data Mining,584,6 of 70 seats remain,"Zhou, Keren",Spring 2022,8.571428571428571,Spring,2022,Very Risky
827,Theory/Application Data Mining,584,51 of 70 seats remain,"Barbara, Daniel",Spring 2022,72.85714285714285,Spring,2022,Low Risk
828,Introduction to Cryptography,587,9 of 20 seats remain,"Ateniese, Giuseppe",Spring 2022,45.0,Spring,2022,Medium risk
829,Quantum Algorithms,595,0 of 2 seats remain,"Baume, Michael",Spring 2022,0.0,Spring,2022,Very Risky
830,AI Design and Deployment Risks,595,9 of 15 seats remain,"Cummings, Missy",Spring 2022,60.0,Spring,2022,Medium risk
831,AI Design and Deployment Risks,595,12 of 15 seats remain,"Cummings, Missy",Spring 2022,80.0,Spring,2022,Low Risk
832,Theory of Computation,600,46 of 60 seats remain,"Richards, Dana",Spring 2022,76.66666666666667,Spring,2022,Low Risk
833,Theory of Computation,600,32 of 50 seats remain,"Richards, Dana",Spring 2022,64.0,Spring,2022,Low Risk
834,Advanced Algorithms,630,17 of 50 seats remain,"Yaroslavtsev, Grigory",Spring 2022,34.0,Spring,2022,Risky
835,Wireless and Mobile Computing,655,12 of 50 seats remain,"Yao, Shuochao",Spring 2022,24.0,Spring,2022,Risky
836,Computational Design,663,30 of 65 seats remain,"Yu, Lap Fai",Spring 2022,46.15384615384615,Spring,2022,Medium risk
837,Advanced NLP,678,9 of 65 seats remain,"Yao, Ziyu",Spring 2022,13.846153846153847,Spring,2022,Very Risky
838,Computer Vision,682,19 of 53 seats remain,"Kosecka, Jana",Spring 2022,35.84905660377358,Spring,2022,Risky
839,Machine Learning,688,19 of 50 seats remain,"Yu, Fang-Yi",Spring 2022,38.0,Spring,2022,Risky
840,Machine Learning,688,20 of 50 seats remain,"Das, Sanmay",Spring 2022,40.0,Spring,2022,Risky
841,Network Security,692,0 of 10 seats remain,"Wang, Xinyuan",Spring 2022,0.0,Spring,2022,Very Risky
842,Linux Kernel Internals,692,29 of 40 seats remain,"Zhang, Xiaokuan",Spring 2022,72.5,Spring,2022,Low Risk
843,SWE Real-Time Embedded Systm,692,9 of 35 seats remain,"Pettit, Rob",Spring 2022,25.71428571428571,Spring,2022,Risky
844,Advanced Computer Architecture,692,39 of 50 seats remain,"Yang, Lishan",Spring 2022,78.0,Spring,2022,Low Risk
845,SWE Real-Time Embedded Systm,692,9 of 32 seats remain,"Pettit, Rob",Spring 2022,28.125,Spring,2022,Risky
846,Advanced Machine Learning,782,36 of 44 seats remain,"Liu, Mingrui",Spring 2022,81.81818181818183,Spring,2022,No Risk
847,Advanced Machine Learning,782,32 of 44 seats remain,"Barbara, Daniel",Spring 2022,72.72727272727273,Spring,2022,Low Risk
848,Decision Guidance Systems,787,9 of 50 seats remain,"Brodsky, Alexander",Spring 2022,18.0,Spring,2022,Very Risky
849,Computer Science Colloquium,800,6 of 60 seats remain,"Aydin, Hakan",Spring 2022,10.0,Spring,2022,Very Risky
850,Computer Networks,107,17 of 70 seats remain,"Davis, Elizabeth",Spring 2023,24.285714285714285,Spring,2023,Risky
851,Computer Architecture,109,7 of 30 seats remain,"Smith, John",Spring 2023,23.333333333333332,Spring,2023,Risky
852,Intro to Programming,112,25 of 30 seats remain,"Martinez, Jessica",Spring 2023,83.33333333333334,Spring,2023,No Risk
853,Computer Architecture,114,33 of 50 seats remain,"Smith, John",Spring 2023,66.0,Spring,2023,Low Risk
854,Data Structures,117,63 of 70 seats remain,"Jones, Robert",Spring 2023,90.0,Spring,2023,No Risk
855,Data Structures,118,24 of 30 seats remain,"Johnson, Emily",Spring 2023,80.0,Spring,2023,Low Risk
856,Artificial Intelligence,121,28 of 70 seats remain,"Smith, John",Spring 2023,40.0,Spring,2023,Risky
857,Intro to Programming,121,13 of 50 seats remain,"Garcia, Maria",Spring 2023,26.0,Spring,2023,Risky
858,Artificial Intelligence,122,9 of 20 seats remain,"Miller, James",Spring 2023,45.0,Spring,2023,Medium risk
859,Data Structures,124,6 of 20 seats remain,"Rodriguez, Michael",Spring 2023,30.0,Spring,2023,Risky
860,Operating Systems,128,13 of 60 seats remain,"Johnson, Emily",Spring 2023,21.666666666666668,Spring,2023,Risky
861,Operating Systems,129,40 of 70 seats remain,"Williams, David",Spring 2023,57.14285714285714,Spring,2023,Medium risk
862,Computer Networks,131,14 of 20 seats remain,"Brown, Linda",Spring 2023,70.0,Spring,2023,Low Risk
863,Intro to Programming,131,18 of 60 seats remain,"Martinez, Jessica",Spring 2023,30.0,Spring,2023,Risky
864,Artificial Intelligence,132,26 of 50 seats remain,"Martinez, Jessica",Spring 2023,52.0,Spring,2023,Medium risk
865,Machine Learning,135,5 of 50 seats remain,"Smith, John",Spring 2023,10.0,Spring,2023,Very Risky
866,Computer Networks,140,25 of 40 seats remain,"Garcia, Maria",Spring 2023,62.5,Spring,2023,Low Risk
867,Data Structures,148,48 of 60 seats remain,"Garcia, Maria",Spring 2023,80.0,Spring,2023,Low Risk
868,Computer Architecture,149,5 of 20 seats remain,"Smith, John",Spring 2023,25.0,Spring,2023,Risky
869,Computer Architecture,149,0 of 30 seats remain,"Jones, Robert",Spring 2023,0.0,Spring,2023,Very Risky
870,Computer Architecture,150,30 of 70 seats remain,"Jones, Robert",Spring 2023,42.857142857142854,Spring,2023,Medium risk
871,Machine Learning,150,12 of 30 seats remain,"Martinez, Jessica",Spring 2023,40.0,Spring,2023,Risky
872,Artificial Intelligence,152,17 of 20 seats remain,"Smith, John",Spring 2023,85.0,Spring,2023,No Risk
873,Intro to Programming,161,50 of 60 seats remain,"Davis, Elizabeth",Spring 2023,83.33333333333334,Spring,2023,No Risk
874,Computer Architecture,163,10 of 40 seats remain,"Smith, John",Spring 2023,25.0,Spring,2023,Risky
875,Data Structures,163,24 of 40 seats remain,"Garcia, Maria",Spring 2023,60.0,Spring,2023,Medium risk
876,Data Structures,163,24 of 30 seats remain,"Johnson, Emily",Spring 2023,80.0,Spring,2023,Low Risk
877,Operating Systems,163,25 of 70 seats remain,"Garcia, Maria",Spring 2023,35.714285714285715,Spring,2023,Risky
878,Intro to Programming,164,23 of 60 seats remain,"Smith, John",Spring 2023,38.333333333333336,Spring,2023,Risky
879,Database Systems,170,37 of 40 seats remain,"Martinez, Jessica",Spring 2023,92.5,Spring,2023,No Risk
880,Intro to Programming,171,8 of 30 seats remain,"Miller, James",Spring 2023,26.666666666666668,Spring,2023,Risky
881,Software Engineering,172,21 of 40 seats remain,"Smith, John",Spring 2023,52.5,Spring,2023,Medium risk
882,Data Structures,173,14 of 30 seats remain,"Smith, John",Spring 2023,46.666666666666664,Spring,2023,Medium risk
883,Artificial Intelligence,174,53 of 60 seats remain,"Rodriguez, Michael",Spring 2023,88.33333333333333,Spring,2023,No Risk
884,Software Engineering,175,9 of 70 seats remain,"Smith, John",Spring 2023,12.857142857142856,Spring,2023,Very Risky
885,Algorithms,175,8 of 60 seats remain,"Johnson, Emily",Spring 2023,13.333333333333334,Spring,2023,Very Risky
886,Artificial Intelligence,176,30 of 70 seats remain,"Johnson, Emily",Spring 2023,42.857142857142854,Spring,2023,Medium risk
887,Software Engineering,177,24 of 60 seats remain,"Jones, Robert",Spring 2023,40.0,Spring,2023,Risky
888,Machine Learning,182,43 of 50 seats remain,"Davis, Elizabeth",Spring 2023,86.0,Spring,2023,No Risk
889,Computer Architecture,187,34 of 40 seats remain,"Williams, David",Spring 2023,85.0,Spring,2023,No Risk
890,Software Engineering,191,40 of 70 seats remain,"Miller, James",Spring 2023,57.14285714285714,Spring,2023,Medium risk
891,Software Engineering,199,45 of 60 seats remain,"Brown, Linda",Spring 2023,75.0,Spring,2023,Low Risk
892,Data Structures,199,17 of 50 seats remain,"Johnson, Emily",Spring 2023,34.0,Spring,2023,Risky
893,Algorithms,200,42 of 60 seats remain,"Martinez, Jessica",Spring 2023,70.0,Spring,2023,Low Risk
894,Intro to Programming,206,5 of 20 seats remain,"Williams, David",Spring 2023,25.0,Spring,2023,Risky
895,Software Engineering,207,47 of 70 seats remain,"Johnson, Emily",Spring 2023,67.14285714285714,Spring,2023,Low Risk
896,Operating Systems,207,28 of 50 seats remain,"Rodriguez, Michael",Spring 2023,56.00000000000001,Spring,2023,Medium risk
897,Computer Architecture,211,24 of 30 seats remain,"Johnson, Emily",Spring 2023,80.0,Spring,2023,Low Risk
898,Artificial Intelligence,212,29 of 60 seats remain,"Williams, David",Spring 2023,48.333333333333336,Spring,2023,Medium risk
899,Algorithms,212,28 of 50 seats remain,"Miller, James",Spring 2023,56.00000000000001,Spring,2023,Medium risk
900,Machine Learning,218,36 of 40 seats remain,"Rodriguez, Michael",Spring 2023,90.0,Spring,2023,No Risk
901,Computer Architecture,220,40 of 70 seats remain,"Williams, David",Spring 2023,57.14285714285714,Spring,2023,Medium risk
902,Data Structures,222,16 of 20 seats remain,"Smith, John",Spring 2023,80.0,Spring,2023,Low Risk
903,Data Structures,226,31 of 40 seats remain,"Davis, Elizabeth",Spring 2023,77.5,Spring,2023,Low Risk
904,Software Engineering,227,16 of 60 seats remain,"Johnson, Emily",Spring 2023,26.666666666666668,Spring,2023,Risky
905,Intro to Programming,228,20 of 30 seats remain,"Garcia, Maria",Spring 2023,66.66666666666666,Spring,2023,Low Risk
906,Data Structures,236,8 of 50 seats remain,"Smith, John",Spring 2023,16.0,Spring,2023,Very Risky
907,Artificial Intelligence,236,15 of 50 seats remain,"Brown, Linda",Spring 2023,30.0,Spring,2023,Risky
908,Machine Learning,237,9 of 20 seats remain,"Davis, Elizabeth",Spring 2023,45.0,Spring,2023,Medium risk
909,Computer Architecture,243,42 of 70 seats remain,"Johnson, Emily",Spring 2023,60.0,Spring,2023,Medium risk
910,Computer Networks,250,4 of 20 seats remain,"Miller, James",Spring 2023,20.0,Spring,2023,Very Risky
911,Machine Learning,251,13 of 20 seats remain,"Johnson, Emily",Spring 2023,65.0,Spring,2023,Low Risk
912,Operating Systems,252,22 of 30 seats remain,"Miller, James",Spring 2023,73.33333333333333,Spring,2023,Low Risk
913,Machine Learning,252,0 of 50 seats remain,"Garcia, Maria",Spring 2023,0.0,Spring,2023,Very Risky
914,Algorithms,252,21 of 40 seats remain,"Davis, Elizabeth",Spring 2023,52.5,Spring,2023,Medium risk
915,Data Structures,253,41 of 50 seats remain,"Miller, James",Spring 2023,82.0,Spring,2023,No Risk
916,Machine Learning,259,8 of 50 seats remain,"Jones, Robert",Spring 2023,16.0,Spring,2023,Very Risky
917,Computer Networks,260,3 of 20 seats remain,"Brown, Linda",Spring 2023,15.0,Spring,2023,Very Risky
918,Artificial Intelligence,263,31 of 60 seats remain,"Martinez, Jessica",Spring 2023,51.66666666666667,Spring,2023,Medium risk
919,Software Engineering,273,12 of 70 seats remain,"Miller, James",Spring 2023,17.142857142857142,Spring,2023,Very Risky
920,Software Engineering,278,8 of 30 seats remain,"Rodriguez, Michael",Spring 2023,26.666666666666668,Spring,2023,Risky
921,Computer Networks,278,18 of 70 seats remain,"Garcia, Maria",Spring 2023,25.71428571428571,Spring,2023,Risky
922,Artificial Intelligence,279,29 of 40 seats remain,"Brown, Linda",Spring 2023,72.5,Spring,2023,Low Risk
923,Artificial Intelligence,279,12 of 30 seats remain,"Miller, James",Spring 2023,40.0,Spring,2023,Risky
924,Database Systems,281,43 of 60 seats remain,"Jones, Robert",Spring 2023,71.66666666666667,Spring,2023,Low Risk
925,Computer Networks,281,18 of 20 seats remain,"Davis, Elizabeth",Spring 2023,90.0,Spring,2023,No Risk
926,Data Structures,283,13 of 60 seats remain,"Johnson, Emily",Spring 2023,21.666666666666668,Spring,2023,Risky
927,Intro to Programming,285,2 of 40 seats remain,"Martinez, Jessica",Spring 2023,5.0,Spring,2023,Very Risky
928,Algorithms,287,4 of 30 seats remain,"Smith, John",Spring 2023,13.333333333333334,Spring,2023,Very Risky
929,Software Engineering,291,16 of 30 seats remain,"Miller, James",Spring 2023,53.333333333333336,Spring,2023,Medium risk
930,Algorithms,292,21 of 50 seats remain,"Smith, John",Spring 2023,42.0,Spring,2023,Medium risk
931,Computer Networks,293,56 of 70 seats remain,"Brown, Linda",Spring 2023,80.0,Spring,2023,Low Risk
932,Computer Networks,294,4 of 60 seats remain,"Jones, Robert",Spring 2023,6.666666666666667,Spring,2023,Very Risky
933,Software Engineering,295,11 of 50 seats remain,"Brown, Linda",Spring 2023,22.0,Spring,2023,Risky
934,Data Structures,298,9 of 30 seats remain,"Davis, Elizabeth",Spring 2023,30.0,Spring,2023,Risky
935,Computer Networks,300,23 of 70 seats remain,"Martinez, Jessica",Spring 2023,32.857142857142854,Spring,2023,Risky
936,Computer Architecture,300,20 of 70 seats remain,"Martinez, Jessica",Spring 2023,28.57142857142857,Spring,2023,Risky
937,Data Structures,304,42 of 70 seats remain,"Williams, David",Spring 2023,60.0,Spring,2023,Medium risk
938,Database Systems,309,17 of 20 seats remain,"Davis, Elizabeth",Spring 2023,85.0,Spring,2023,No Risk
939,Intro to Programming,315,36 of 60 seats remain,"Miller, James",Spring 2023,60.0,Spring,2023,Medium risk
940,Algorithms,315,6 of 20 seats remain,"Miller, James",Spring 2023,30.0,Spring,2023,Risky
941,Data Structures,315,6 of 70 seats remain,"Williams, David",Spring 2023,8.571428571428571,Spring,2023,Very Risky
942,Intro to Programming,318,35 of 40 seats remain,"Miller, James",Spring 2023,87.5,Spring,2023,No Risk
943,Algorithms,322,5 of 30 seats remain,"Garcia, Maria",Spring 2023,16.666666666666664,Spring,2023,Very Risky
944,Operating Systems,323,22 of 30 seats remain,"Garcia, Maria",Spring 2023,73.33333333333333,Spring,2023,Low Risk
945,Data Structures,323,19 of 50 seats remain,"Martinez, Jessica",Spring 2023,38.0,Spring,2023,Risky
946,Data Structures,324,36 of 50 seats remain,"Rodriguez, Michael",Spring 2023,72.0,Spring,2023,Low Risk
947,Machine Learning,327,32 of 40 seats remain,"Martinez, Jessica",Spring 2023,80.0,Spring,2023,Low Risk
948,Data Structures,332,42 of 50 seats remain,"Smith, John",Spring 2023,84.0,Spring,2023,No Risk
949,Database Systems,333,55 of 70 seats remain,"Miller, James",Spring 2023,78.57142857142857,Spring,2023,Low Risk
950,Artificial Intelligence,336,6 of 50 seats remain,"Smith, John",Spring 2023,12.0,Spring,2023,Very Risky
951,Data Structures,341,13 of 20 seats remain,"Williams, David",Spring 2023,65.0,Spring,2023,Low Risk
952,Database Systems,344,17 of 30 seats remain,"Jones, Robert",Spring 2023,56.666666666666664,Spring,2023,Medium risk
953,Operating Systems,344,32 of 70 seats remain,"Miller, James",Spring 2023,45.714285714285715,Spring,2023,Medium risk
954,Artificial Intelligence,345,25 of 40 seats remain,"Jones, Robert",Spring 2023,62.5,Spring,2023,Low Risk
955,Data Structures,354,6 of 60 seats remain,"Davis, Elizabeth",Spring 2023,10.0,Spring,2023,Very Risky
956,Operating Systems,355,6 of 20 seats remain,"Brown, Linda",Spring 2023,30.0,Spring,2023,Risky
957,Algorithms,356,30 of 60 seats remain,"Garcia, Maria",Spring 2023,50.0,Spring,2023,Medium risk
958,Artificial Intelligence,358,0 of 60 seats remain,"Williams, David",Spring 2023,0.0,Spring,2023,Very Risky
959,Computer Architecture,359,46 of 60 seats remain,"Smith, John",Spring 2023,76.66666666666667,Spring,2023,Low Risk
960,Software Engineering,360,18 of 50 seats remain,"Brown, Linda",Spring 2023,36.0,Spring,2023,Risky
961,Computer Networks,362,40 of 60 seats remain,"Johnson, Emily",Spring 2023,66.66666666666666,Spring,2023,Low Risk
962,Intro to Programming,365,9 of 20 seats remain,"Jones, Robert",Spring 2023,45.0,Spring,2023,Medium risk
963,Algorithms,369,6 of 60 seats remain,"Brown, Linda",Spring 2023,10.0,Spring,2023,Very Risky
964,Database Systems,369,16 of 20 seats remain,"Davis, Elizabeth",Spring 2023,80.0,Spring,2023,Low Risk
965,Computer Architecture,372,32 of 70 seats remain,"Garcia, Maria",Spring 2023,45.714285714285715,Spring,2023,Medium risk
966,Intro to Programming,372,5 of 20 seats remain,"Rodriguez, Michael",Spring 2023,25.0,Spring,2023,Risky
967,Computer Networks,373,23 of 50 seats remain,"Brown, Linda",Spring 2023,46.0,Spring,2023,Medium risk
968,Computer Architecture,373,18 of 40 seats remain,"Miller, James",Spring 2023,45.0,Spring,2023,Medium risk
969,Software Engineering,375,35 of 70 seats remain,"Davis, Elizabeth",Spring 2023,50.0,Spring,2023,Medium risk
970,Computer Architecture,375,10 of 30 seats remain,"Johnson, Emily",Spring 2023,33.33333333333333,Spring,2023,Risky
971,Software Engineering,377,43 of 70 seats remain,"Jones, Robert",Spring 2023,61.42857142857143,Spring,2023,Low Risk
972,Algorithms,381,16 of 60 seats remain,"Garcia, Maria",Spring 2023,26.666666666666668,Spring,2023,Risky
973,Software Engineering,384,33 of 40 seats remain,"Smith, John",Spring 2023,82.5,Spring,2023,No Risk
974,Machine Learning,384,26 of 40 seats remain,"Rodriguez, Michael",Spring 2023,65.0,Spring,2023,Low Risk
975,Computer Networks,387,20 of 40 seats remain,"Martinez, Jessica",Spring 2023,50.0,Spring,2023,Medium risk
976,Machine Learning,388,10 of 40 seats remain,"Brown, Linda",Spring 2023,25.0,Spring,2023,Risky
977,Computer Architecture,388,29 of 50 seats remain,"Johnson, Emily",Spring 2023,57.99999999999999,Spring,2023,Medium risk
